code,name,current price, highest price, lowest price, rate to high, rate to low, price rate,days from last open, days from lowest price, priceTrend, redKline, redSoldier, industrySector, industrySubSector
601003,柳钢股份,4.13,7.2,4.13,0.57361114,1.0,0.0,36,3,GoUpRed,0,false,制造业,钢铁
601008,连云港,6.76,14.53,5.23,0.46524435,0.7736686,0.16451617,61,119,GoDown,0,true,null,港口水运
600858,银座股份,11.06,17.35,7.8,0.637464,0.7052441,0.34136128,39,53,GoUpRed,1,true,批发和零售业,商业连锁
601007,金陵饭店,15.42,35.99,10.14,0.42845234,0.6575876,0.2042553,61,72,GoUpGreen,0,true,null,旅游酒店
600854,春兰股份,8.29,13.29,5.27,0.6237773,0.63570565,0.37655857,61,119,GoUpGreen,0,true,制造业,家电行业
600853,龙建股份,7.61,12.63,5.48,0.60253364,0.7201051,0.2979021,61,94,GoUpRed,0,false,null,工程建筑
002398,建研集团,16.8,28.49,10.89,0.58968055,0.64821434,0.33579543,61,72,GoDown,0,true,科学研究和技术服务业,工程建设
601010,文峰股份,7.27,16.26,6.14,0.44710946,0.8445667,0.11166008,44,62,GoDown,0,false,null,商业连锁
600860,京城股份,12.91,18.18,12.05,0.710121,0.933385,0.14029358,23,11,GoDown,1,true,制造业,机械行业
600863,内蒙华电,4.47,8.99,4.22,0.49721912,0.9440716,0.0524109,61,84,GoDown,0,false,null,电力行业
601015,陕西黑猫,11.68,27.35,8.64,0.42705667,0.73972607,0.16247997,61,72,GoDown,0,true,制造业,煤炭石油
601016,节能风电,15.78,34.38,13.19,0.45898777,0.8358682,0.12222746,61,69,GoDown,0,true,null,新能源
600823,世茂股份,12.23,17.73,9.34,0.6897913,0.7636959,0.34445763,61,84,GoDown,0,false,null,房地产
